PM2.5,PM10,CO,O3,NO2,SO2,NO,NOx,AQI_Bucket,City
61.06,95.68,3.52,19.54,14.03,8.08,3.52,17.59,Moderate,Ahmedabad
39.42,95.68,5.28,31.3,19.56,17.66,5.28,24.66,Moderate,Ahmedabad
111.86,95.68,3.89,31.23,22.51,15.84,3.89,25.17,Poor,Ahmedabad
58.37,95.68,5.74,43.92,21.71,25.9,5.74,27.69,Poor,Ahmedabad
95.37,95.68,18.01,41.64,26.23,13.59,18.01,44.34,Very Poor,Ahmedabad
141.3,95.68,30.8,37.66,36.88,41.06,30.8,66.53,Severe,Ahmedabad
106.68,95.68,19.91,48.49,46.38,31.56,19.91,54.77,Severe,Ahmedabad
109.48,95.68,4.3,31.34,20.27,46.6,4.3,22.86,Poor,Ahmedabad
126.04,95.68,6.99,28.71,20.18,79.56,6.99,26.78,Very Poor,Ahmedabad
71.22,95.68,16.73,28.39,21.32,50.09,16.73,37.58,Very Poor,Ahmedabad
97.87,95.68,6.3,34.16,17.96,13.85,6.3,23.45,Very Poor,Ahmedabad
63.38,95.68,3.44,43.62,13.28,24.79,3.44,15.44,Moderate,Ahmedabad
75.29,95.68,3.35,60.71,14.29,76.05,3.35,17.97,Moderate,Ahmedabad
80.9,95.68,5.7,22.8,18.62,65.44,5.7,24.23,Poor,Ahmedabad
103.29,95.68,4.55,22.18,19.82,85.42,4.55,23.69,Poor,Ahmedabad
107.5,95.68,5.29,10.12,15.56,74.37,5.29,19.73,Poor,Ahmedabad
161.14,95.68,3.11,59.73,14.77,118.35,3.11,16.12,Moderate,Ahmedabad
102.58,95.68,3.88,26.89,12.74,41.94,3.88,16.82,Moderate,Ahmedabad
138.42,95.68,5.05,27.18,16.7,77.74,5.05,21.56,Poor,Ahmedabad
129.04,95.68,5.69,18.67,14.86,78.27,5.69,19.66,Very Poor,Ahmedabad
96.65,95.68,4.67,11.83,15.9,39.41,4.67,20.53,Poor,Ahmedabad
126.77,95.68,15.69,36.71,23.93,93.18,15.69,39.73,Very Poor,Ahmedabad
106.15,95.68,13.12,81.6,23.02,65.95,13.12,35.05,Severe,Ahmedabad
86.31,95.68,2.69,90.54,10.5,50.13,2.69,10.9,Very Poor,Ahmedabad
83.99,95.68,2.73,69.57,0.08,34.06,2.73,2.75,Poor,Ahmedabad
65.11,95.68,3.14,32.26,4.58,22.27,3.14,6.75,Moderate,Ahmedabad
51.03,95.68,6.24,31.44,20.47,15.5,6.24,26.2,Moderate,Ahmedabad
38.73,95.68,8.0,25.7,19.28,20.13,8.0,26.61,Moderate,Ahmedabad
61.12,95.68,9.94,25.9,17.82,39.69,9.94,27.18,Poor,Ahmedabad
58.44,95.68,10.68,18.89,17.24,54.69,10.68,27.38,Poor,Ahmedabad
61.49,95.68,11.44,18.2,16.69,42.66,11.44,27.61,Poor,Ahmedabad
65.39,95.68,12.3,22.35,16.08,27.96,12.3,27.86,Poor,Ahmedabad
100.92,95.68,20.42,22.84,18.9,31.9,20.42,37.83,Severe,Ahmedabad
97.48,95.68,5.31,16.26,30.02,36.05,5.31,33.62,Very Poor,Ahmedabad
129.27,95.68,14.28,25.4,28.33,70.13,14.28,41.92,Very Poor,Ahmedabad
129.58,95.68,21.23,34.42,28.79,17.66,21.23,45.4,Severe,Ahmedabad
100.57,95.68,7.56,38.83,18.79,38.76,7.56,24.33,Severe,Ahmedabad
130.34,95.68,7.14,29.05,17.43,52.07,7.14,23.72,Poor,Ahmedabad
53.24,95.68,8.05,21.58,15.86,36.23,8.05,23.34,Poor,Ahmedabad
42.0,95.68,10.44,25.5,18.16,17.0,10.44,21.8,Moderate,Ahmedabad
50.1,95.68,9.46,12.91,14.9,30.67,9.46,22.5,Moderate,Ahmedabad
83.69,95.68,10.89,35.61,17.18,41.12,10.89,27.15,Severe,Ahmedabad
38.88,95.68,2.18,12.47,16.28,26.4,2.18,17.74,Moderate,Ahmedabad
46.89,95.68,2.96,10.74,16.17,41.96,2.96,18.49,Moderate,Ahmedabad
70.96,95.68,4.12,16.01,15.47,23.67,4.12,19.28,Moderate,Ahmedabad
53.66,95.68,4.23,45.64,14.43,14.46,4.23,18.06,Moderate,Ahmedabad
